Time,LC_Control_NoHurricane,LC_Control_NoHelene,LC_Control_NoMilton,ES_Control_NoHurricane,ES_Control_NoHelene,ES_Control_NoMilton
2024-09-23 12:00:00,0.01880180835723877,0.01880180835723877,0.0,0.05210678279399872,0.05210678279399872,0.0
2024-09-24 12:00:00,0.036913011223077774,0.036913011223077774,0.0,0.06267507374286652,0.06267507374286652,0.0
2024-09-25 12:00:00,-0.05263897404074669,-0.05263897404074669,0.0,-0.022300830110907555,-0.022300830110907555,0.0
2024-09-26 12:00:00,-0.258263498544693,-0.258263498544693,0.0,-0.2469523847103119,-0.2469523847103119,0.0
2024-09-27 12:00:00,-0.3477632701396942,-0.3477632701396942,0.0,-0.47093117237091064,-0.47093117237091064,0.0
2024-09-28 12:00:00,-0.2586280405521393,-0.2586280405521393,0.0,-0.42158612608909607,-0.42158612608909607,0.0
2024-09-29 12:00:00,-0.19218166172504425,-0.19218166172504425,0.0,-0.33535778522491455,-0.33535778522491455,0.0
2024-09-30 12:00:00,-0.26061999797821045,-0.26061999797821045,0.0,-0.338352233171463,-0.338352233171463,0.0
2024-10-01 12:00:00,-0.2977406680583954,-0.2977406680583954,0.0,-0.3288358449935913,-0.3288358449935913,0.0
2024-10-02 12:00:00,-0.31194549798965454,-0.31194549798965454,0.0,-0.3274116814136505,-0.3274116814136505,0.0
2024-10-03 12:00:00,-0.3014875650405884,-0.3014753460884094,-1.146508293459192e-05,-0.31781840324401855,-0.31780096888542175,-1.622585841687396e-05
2024-10-04 12:00:00,-0.26648178696632385,-0.298688679933548,0.03620285913348198,-0.2653455436229706,-0.3146253526210785,0.053146373480558395
2024-10-05 12:00:00,-0.22755761444568634,-0.298050194978714,0.08928721398115158,-0.21029603481292725,-0.3092438876628876,0.10716449469327927
2024-10-06 12:00:00,-0.25001072883605957,-0.29818984866142273,0.0684487596154213,-0.2576131224632263,-0.30004361271858215,0.05271131917834282
2024-10-07 12:00:00,-0.2406466007232666,-0.30138930678367615,0.06837281584739685,-0.3374224603176117,-0.2874743640422821,-0.038937702775001526
2024-10-08 12:00:00,-0.3148766756057739,-0.2910604774951935,-0.021747823804616928,-0.41698750853538513,-0.27457430958747864,-0.13058055937290192
2024-10-09 12:00:00,-0.4687264859676361,-0.2699953615665436,-0.19912970066070557,-0.5367708206176758,-0.2685995101928711,-0.2614194452762604
2024-10-10 12:00:00,-0.587414026260376,-0.2644190192222595,-0.33269065618515015,-0.7145323753356934,-0.24664299190044403,-0.44897130131721497
2024-10-11 12:00:00,-0.5996690988540649,-0.2710486352443695,-0.3473054766654968,-0.6886214017868042,-0.2312159240245819,-0.43162772059440613
2024-10-12 12:00:00,-0.5518403053283691,-0.2778838276863098,-0.3042411506175995,-0.5918540358543396,-0.21929092705249786,-0.3481409251689911
2024-10-13 12:00:00,-0.5366700887680054,-0.2800707221031189,-0.29967695474624634,-0.5703285932540894,-0.21123938262462616,-0.3353137969970703
2024-10-14 12:00:00,-0.5084937214851379,-0.26787516474723816,-0.2820073366165161,-0.5457649827003479,-0.2045474648475647,-0.3179023563861847
2024-10-15 12:00:00,-0.4827645421028137,-0.256483256816864,-0.2593824863433838,-0.5181679725646973,-0.19711089134216309,-0.29994848370552063
2024-10-16 12:00:00,-0.47456881403923035,-0.25160932540893555,-0.24732226133346558,-0.5152774453163147,-0.1917177140712738,-0.30284184217453003
2024-10-17 12:00:00,-0.4860961139202118,-0.26058533787727356,-0.2535879909992218,-0.5044984221458435,-0.18121643364429474,-0.30596286058425903
2024-10-18 12:00:00,-0.48528003692626953,-0.26201391220092773,-0.2482072114944458,-0.4707055389881134,-0.165505051612854,-0.2896103262901306
2024-10-19 12:00:00,-0.4909075200557709,-0.2622127830982208,-0.24137723445892334,-0.438946008682251,-0.1493000090122223,-0.27201828360557556
2024-10-20 12:00:00,-0.5037808418273926,-0.26900532841682434,-0.24892562627792358,-0.41300100088119507,-0.1379980444908142,-0.25985923409461975
2024-10-21 12:00:00,-0.5176283717155457,-0.2813621759414673,-0.26999711990356445,-0.3908245265483856,-0.13108642399311066,-0.25200751423835754
2024-10-22 12:00:00,-0.5188503265380859,-0.29393643140792847,-0.2851530909538269,-0.3678048253059387,-0.12657538056373596,-0.24155564606189728
2024-10-23 12:00:00,-0.5011683702468872,-0.30364757776260376,-0.2844494581222534,-0.34718573093414307,-0.12361833453178406,-0.2289341688156128
