Time,LC_Control_NoHurricane,LC_Control_NoHelene,LC_Control_NoMilton,ES_Control_NoHurricane,ES_Control_NoHelene,ES_Control_NoMilton
2024-09-23 12:00:00,-0.0012809588806703687,-0.0012809588806703687,0.0,-0.0004597713996190578,-0.0004597713996190578,0.0
2024-09-24 12:00:00,-0.001544511062093079,-0.001544511062093079,0.0,0.0003119282773695886,0.0003119282773695886,0.0
2024-09-25 12:00:00,0.0024905342143028975,0.0024905342143028975,0.0,0.002794969128444791,0.002794969128444791,0.0
2024-09-26 12:00:00,0.04029444605112076,0.04029444605112076,0.0,0.030813002958893776,0.030813002958893776,0.0
2024-09-27 12:00:00,-0.007678175810724497,-0.007678175810724497,0.0,0.008754215203225613,0.008754215203225613,0.0
2024-09-28 12:00:00,-0.0006905970512889326,-0.0006905970512889326,0.0,0.0032583449501544237,0.0032583449501544237,0.0
2024-09-29 12:00:00,-0.0006067156791687012,-0.0006067156791687012,0.0,0.0019602617248892784,0.0019602617248892784,0.0
2024-09-30 12:00:00,0.0030792090110480785,0.0030792090110480785,0.0,0.0020645048934966326,0.0020645048934966326,0.0
2024-10-01 12:00:00,0.007438515778630972,0.007438515778630972,0.0,0.0022896418813616037,0.0022896418813616037,0.0
2024-10-02 12:00:00,0.010822690092027187,0.010822690092027187,0.0,0.002413355279713869,0.002413355279713869,0.0
2024-10-03 12:00:00,0.014214687049388885,0.014214851893484592,-4.424984467732429e-07,0.0038423219230026007,0.0038419594056904316,3.314818002309039e-07
2024-10-04 12:00:00,0.01417683158069849,0.013881171122193336,0.0003898620780091733,0.005861415062099695,0.004588731564581394,0.0013809384545311332
2024-10-05 12:00:00,0.0156794972717762,0.014231310226023197,0.0012984155910089612,0.007957099005579948,0.0050940439105033875,0.0029652586672455072
2024-10-06 12:00:00,0.021780481562018394,0.013234500773251057,0.008297399617731571,0.013032575137913227,0.005288768094033003,0.007845564745366573
2024-10-07 12:00:00,0.024210605770349503,0.012457962147891521,0.011562113650143147,0.013021709397435188,0.004766855388879776,0.008132697083055973
2024-10-08 12:00:00,0.019230354577302933,0.012253562919795513,0.00699523463845253,0.004740335512906313,0.0046980129554867744,0.00020737462909892201
2024-10-09 12:00:00,0.02858084626495838,0.01033321674913168,0.01880083978176117,0.018062496557831764,0.0034867548383772373,0.014075429178774357
2024-10-10 12:00:00,0.012279811315238476,0.01077282801270485,0.0034773852676153183,-0.0043380302377045155,0.0049910168163478374,-0.008169698528945446
2024-10-11 12:00:00,0.014549605548381805,0.009228110313415527,0.00353483809158206,-8.432914910372347e-05,0.004848896060138941,-0.0046562450006604195
2024-10-12 12:00:00,0.01245245523750782,0.008334225974977016,0.0009195777820423245,0.0041647059842944145,0.004387355875223875,-0.0006198858027346432
2024-10-13 12:00:00,0.018963152542710304,0.011499559506773949,0.0035269279032945633,0.004668169654905796,0.0040495749562978745,-0.00034538243198767304
2024-10-14 12:00:00,0.02361481450498104,0.013851072639226913,0.008418325334787369,0.00464519951492548,0.003926663659512997,0.0002411174646113068
2024-10-15 12:00:00,0.019439255818724632,0.009519648738205433,0.004976070951670408,0.005051963496953249,0.003688556607812643,0.0005028823507018387
2024-10-16 12:00:00,0.022341886535286903,0.0084782550111413,0.005925960838794708,0.005860168021172285,0.003363486612215638,0.0008980308193713427
2024-10-17 12:00:00,0.02574576623737812,0.011442137882113457,0.0065127089619636536,0.005420987959951162,0.003463594475761056,0.000576268183067441
2024-10-18 12:00:00,0.025523297488689423,0.017581243067979813,0.00481226434931159,0.004179863259196281,0.004381587263196707,-0.0001379474124405533
2024-10-19 12:00:00,0.02794037014245987,0.024238964542746544,0.004076613113284111,0.003236605552956462,0.004705265164375305,-0.0014075757935643196
2024-10-20 12:00:00,0.03017372079193592,0.023899393156170845,0.006907335482537746,0.0021757418289780617,0.003144606249406934,-0.0010711585637181997
2024-10-21 12:00:00,0.036357879638671875,0.02008533664047718,0.013963054865598679,0.002732015447691083,0.0015518154250457883,0.0008954572258517146
2024-10-22 12:00:00,0.043646201491355896,0.021429669111967087,0.02343951165676117,0.004639776423573494,0.0013786213239654899,0.003126609604805708
2024-10-23 12:00:00,0.04169093817472458,0.023529203608632088,0.028522394597530365,0.0052025229670107365,0.0014827587874606252,0.0037735719233751297
